CODIGO;DESCRIPCION;EXISTENCIA;PRECIO
FUS-V15AMP;FUSIBLE DE VIDRIO DE 15AMP;300.00;0.47
FUS-V20AMP;FUSIBLE DE VIDRIO DE  20AMP;200.00;0.47
FUS-VID10AMP;FUSIBLE VIDRIO 10AMP;400.00;0.47
FUS-VID20;FUSIBLE VIDRIO DE 20AMP;20.00;0.41
FUS-VID35;FUSIBLE DE VIDRIO 35AMP;500.00;0.39
GRAS-10MM-C;GRASERA 10MM A 45 GRADOS;135.00;4.00
GRAS-10MM-R;GRASERA 10MM RECTA;42.00;2.00
GRAS-6MM-C;GRASERA 6MM 45GRADOS;215.00;3.00
GRAS-6MM-R;GRASERA 6MM RECTA;281.00;2.00
GRAS-8MM-R;GRASERA 8MM RECTA;118.00;2.00
GUAR-D4WDTOY;GUARDAFANGO DEL CAUCHO LETRAS TOYOTA 4WD KIT;10.00;60.00
GUARS-TOYD;GUARDAFANGO 2WD TOYOTA DELANTERO;1.00;35.00
GUAR-T4WDTOY;GUARDAFANGO TRAS. CAUCHO LETRAS TOYOTA 4WD KIT;6.00;60.00
GUT-21;CRUZ TRANSMISION 22R;60.00;50.00
GUT-21ICH;CRUZ TRANSMISION 22R ICHIBAN;1.00;50.00
GUT-21N;CRUZ TRANSMISION 22R;20.00;50.00
H-6014L-720;SILVIN REDONDO LED GRANDE #720;1.00;180.00
H-6052EUB;KIT DE SILVIN CUADRADO GRANDE EURO BOMBILLA CAMBIABLE B;10.00;155.00
H-6054-12VN;SILVIN CUADRADO HALOGENO GRANDE 12V NORMAL NEXG.;1146.00;55.00
HID-9005 10K;KIT BOMBILLA XENON 10000 K;1.00;476.00
H-P4652EUZ;KIT DE SILVIN EURO PEQUEÑO BOMBILLA CAMBIABLE AZUL;3.00;118.80
KITCOP-40PZS;KIT DE COPAS 40 PZS CON RATCH;16.00;55.00
KITDES-6PZS;KIT DESARMADORES 6 PCZ (3PLANOS 3 EN CLRUZ);18.00;50.00
KIT-INST;KIT DE INSTALACION;26.00;70.00
KIT-LAMP-U3LED;KIT LAMPARA UNIVERSAL TRASERA DE 3 COLORES LED;3.00;240.00
LAMP-1PUL-R;"LAMPARITA REDONDA DE 1"" COLOR ROJO";1.00;15.00
LAMP-EMPB;LAMPARA EMPOTRAR METAL COLOR BLANCO;6.00;23.00
LAMP-EMPHB;LAMPARA EMPROTRAR PARA CAMION DE HULE BLANCO;1.00;30.00
LAMP-PAN-A;LAMPARA DOS BOMBILLAS PANITO AMARILLO;100.00;8.00
LAMP-PAN-R;LAMPARA DOS BOMBILLAS PANITO ROJO;64.00;8.00
LAMP-U3;LAMPARA UNIVERSAL 3 COLORES;16.00;63.00
LED-1034;LED 1034 COLORES AZUL,BLANCO Y ROJO;4.00;25.00
LED-1073;LED 1073 COLORES AZUL,BLANCA Y AMARILLA;1.00;25.00
LED-3157;BOMBILLA DOS CONTACTOS CLARA HULE Y PLASTICO;62.00;40.00
LED-9004J;LED 9004 JUEGO PARA CARRO;5.00;100.00
LED-9005J;LED 9005 JUEGO PARA CARRO #387;5.00;100.00
LED-9005J-B/A;LED 9005 JUEGO CARRO/MOTO BLANCO/AMARILLO;3.00;190.00
LED-9006J;LED 9006 JUEGO PARA CARRO #388;5.00;100.00
LED-H11J-B/A;LED H11 JUEGO CARRO/MOTO BLANCO/AMARILLO;1.00;190.00
LED-H1J-B/A;LED H1 JUEGO CARRO/MOTO BLANCO/AMARILLO;2.00;190.00
LED-H3J-B/A;LED H3 JUEGO CARRO/MOTO BLANCO/AMARILLO;4.00;190.00
LED-H4J;LED H4 JUEGO PARA CARRO/MOTO;10.00;100.00
LED-H7J;LED H7 JUEGO PARA CARRO;3.00;100.00
LED-SP9005;LED PARA CARRO 9005 SPIDER;1.00;170.00
LED-SPH13;LED PARA CARRO H13 SPIDER;1.00;170.00
LF-CUAD;LAMPARA LED ALTA INTESIDAD 4 1/2 27W CUADRADA;1.00;60.00
LF-CUA-MED;LAMPARA LED ALTA INTESIDAD 4 CUADRADA CON LUZ MEDIA;10.00;65.00
LF-RED;LAMPARA LED ALTA INTESIDAD 4 1/2 27W REDONDA;2.00;60.00
LF-RED-MED;LAMPARA LED ALTA INTESIDAD 4 REDONDA CON LUZ MEDIA;4.00;65.00
LLAV-17MM;LLAVE DE COLA CORONA 17MM;8.00;12.50
LLAV-18MM;LLAVE DE COLA CORONA 18MM;6.00;12.80
LLAV-6MM;LLAVE DE COLA CORONA 6MM;4.00;3.90
LLAV-SEG;LLAVE PARA TUERCA DE SEGURIDAD;29.00;9.00
LLAV-SF-C12;"LLAVE SACA FILTRO DE CADENA MEDIA 12""";2.00;45.00
M250A;TERMINAL ELECTRICA MACHO AMBAR;1100.00;0.36
MANE-1100;MANECILLA COMPUERTA TOYOTA 22R 84-88 NEGRO;43.00;39.00
MANE-1200;MANECILLA COMPUERTA TOYOTA 22R 89-95 NEGRO;42.00;39.00
MANE-1200C;MANECILLA COMPUERTA TOYOTA 22R 89-95 CROMADO;4.00;74.00
MANE-TOYZ;MANECILLA SUBIR VIDRIO CENTRO DE METAL COLOR AZUL;15.00;9.00
MARC-BU;MARCO PARA BATERIA UNIVERSAL AJUSTABLE;25.00;24.00
MB295330N;BOMBA CENTRAL FRENO CANTER 86-90;32.00;298.00
MC894211N;BOMBA CENTRAL  FRENO 1 3/16 CANTER 95-;28.00;278.00
MF-DM200;PASTILLA PARA DM200 (CUADRADA);1.00;9.00
MGR-1/4;METRO DE MANGUERA PARA GASOLINA REFORZADA 1/4;90.00;23.80
MGR-3/8;METRO DE MANGUERA DE GASOLINA  3/8;66.00;28.70
MGR-5/16;METRO DE MANGUERA PARA GASOLINA REFORZADA 5/16;710.00;25.40
NC-121N;CONTACTO DE STARTER TOYOTA GASOLINA;725.00;4.50
NC-123-DN;CONTACTO COBRE ESTARTER TOYOTA,ISUZU DISSEL;407.00;4.50
NC-124-L;CONTACTO DE STARTER IZQUIERDO;10.00;5.00
NEB-209B;NEBLINERA OVALADA LARGA DE METAL;2.00;78.00
NEB-312Z;"NEBLINERA REDONDA 6"" TIPO BOSH AZUL";12.00;55.00
NEB-315Z;"LAMP HALOGENA PLASTICA REDONDA S/W 7""";3.00;68.40
PIN-BOC;PIN DE BOCINA;79.00;6.50
PLAC-E-B;PLACA ECONIMICAS COLOR BLANCO;65.00;50.00
PLAC-F/PL-ROS;PLACA FINA PROTECTOR LARGA ROSADO;1.00;100.00
PLAC-L2-B;PLACA  LED DOBLE COLOR BLANCO;4.00;90.00
PLAC-L2-V;PLACA  LED DOBLE COLOR VERDE;9.00;90.00
PLUG-STAR-D;PLUNGER DE STARTER TOYOTA GASOLINA DELGADO;8.00;39.00
PLUM-16;"PLUMILLA 16"" DE METAL EN BLISTER";60.00;16.00
PLUM-BGY;PLUMILLAS GOOD YEAR DE BANANA;11.00;50.00
"PLUM-TBA-19""";PLUMILLA TIPO BANANA DE 19 PULGADAS;1.00;22.00
"PLUM-TBA-24""";PLUMILLA TIPO BANANA DE 24 PULGADAS;1.00;21.00
"PLUM-TBA-26""";PLUMILLA TIPO BANANA DE 26 PULGADAS;10.00;21.00
PORT-CF;PORTA PLACA PARA CARRO LOGOTIPO FORD PAR;5.00;26.50
PORT-CHON-3D;PORTA PLACA DE CARRO HONDA  3D 2PZS;16.00;34.00
PORT-CHY;PORTA PLACA PARA CARRO LOGOTIPO HYUNDAI PAR;6.00;26.00
PORT-CHYU-3D;PORTA PLACA DE CARRO HYUNDAI 3D 2PZS;7.00;34.00
PORT-CI;PORTA PLACA PARA CARRO LOGOTIPO ISUZU PAR;4.00;26.00
PORT-CKIA-3D;PORTA PLACA DE CARRO KIA 3D 2PZS;7.00;34.00
PORT-CMAZ-3D;PORTA PLACA DE CARRO MAZDA  3D 2PZS;1.00;34.00
PORT-CMI-3D;PORTA PLACA DE CARRO MITSUBISHI  3D 2PZS;1.00;34.00
PORT-CN;PORTA PLACA PARA CARRO LOGOTIPO NISSAN PAR;9.00;27.00
PORT-CNISS-3D;PORTA PLACA DE CARRO NISSAN  3D 2PZS;7.00;34.00
PORT-CS;PORTA PLACA PARA CARRO LOGOTIPO SUZUKI PAR;16.00;26.00
PORT-FEC;PORTA FUSIBLE PARA FUSIBLE DE ESPIGA CERAMICO;6.00;6.00
PORT-FEPG;PORTAFUSIBLE DE ESPIGA CALIBRE 14;1329.00;5.00
PORT-FV;PORTA FUSIBLE PARA FUSIBLE DE VIDRIO;175.00;3.00
PROT-PUER;PROTECTOR DE PUERTA;34.00;13.00
RAD-22R-ALUM;RADIADOR TOY 22R 84-95 FULL ALUMINIO;5.00;925.00
REG-L79000HD;REGULADOR 12V FORD 75-05;2.00;78.00
REL-5ESP;RELAY 5 ESPIGAS PARA LUCES Y BOCINA;43.00;15.00
REL-ALRED;RELAY DE ALTERNADOR 27060-35060 REDONDO;7.00;115.00
REL-AMP;RELOJ INDICADOR DE AMPERIOS 60/60;6.00;16.00
REL-TEMP;"RELOJ MEDIDOR DE TEMPERATURA 280""";5.00;61.00
SB-2471N;ROTULA SUP TOY 2WD R/L 83- 43350-39035;111.00;93.00
SB-2472N;ROTULA INF TOY 2WD R/L  83- 43330-39165;106.00;98.00
SB-2721N;ROTULA SUP TOY 4WD R/L 85- 43350-39045;210.00;89.00
SB-2722N;ROTULA  R/L INFERIOR HILUK 4WD 85- 43330-39195 NEXG.;60.00;98.00
SB-2832N;ROTULA HILUX  INF 2WD R/L 89-95 43330-39295;44.00;98.00
SB-2852N;ROTULA INF TOY 4WD R/L 89-;32.00;98.00
SC-2477;VARILLA CENTRAL 22R 83-;33.00;245.00
SC-2477N;VARILLA CENTRAL DIREC. 22R 83- 45450-39145;69.00;245.00
SE-2471;CABEZAL R/L EXT TOY 4WD 83-88 2WD;75.00;55.00
SE-2471N;CABEZAL R/L EXT TOY 4WD 83-88 2WD;139.00;55.00
SE-2472;CABEZAL R/L INT TOY 2WD 79-90;12.00;65.00
SE-2472N;CABEZAL R/L INT TOY 2WD 79-90;58.00;65.00
SE-2852N;CABEZAL R/L INT TOY 4WD 85-;80.00;70.00
SH-41287;MANGUERA FRENO 470MM H/H;3.00;50.00
SH-51317;MANGUERA DE FRENO NISSAN H/EX;4.00;102.00
SI-2475N;IDLER ARM TOYOTA 22R 2WD 83-87 SI-2475/45490-35140;94.00;145.00
SI-2725N;IDLER ARM TOYOTA 22R 4WD SI-2725/45490-39245;78.00;190.00
SI-2835N;IDLER ARM TOYOTA 22R  2WD 88-  45490-39315;38.00;150.00
SL-3790LN;CABEZAL ESTABILIZADOR  TACOMA 4WD 01-04 DEL. IZQ. SL-3790L /48810-04010;48.00;70.00
SL-3790RN;CABEZAL ESTABILIZADOR TACOMA 4WD DEL. DER. SL-3790R / 48820-04020 / -35040;46.00;70.00
SL-3920N;CABEZAL ESTABILIZADOR RAV4 01-05 DEL. R/L SL-3920 / 48820-42020;2.00;75.00
SL-3925LN;CABEZAL ESTABILIZADOR RAV4 01-05 TRAS. IZQ SL-3925L / 48840-42010;74.00;60.00
SL-3925RN;CABEZAL ESTABILIZADOR RAV4 01-05 TRAS DER. SL-3925R/48830-42010;74.00;60.00
SL-6270LN;CABEZAL ESTABILIZADOR DELANTERO IZQ. CIVIC 96-00,CR-V 02-06,ELEMENT 04-11 51321-S5A-A01/SL6270L NEXG;55.00;50.00
SL-6270RN;CABEZAL ESTABILIZADOR DELANTERO DER. CIVIC01-05,CR-V 02-06,ELEMENT 04-11 51320-S5A-A01/SL-6270R NEXG;59.00;50.00
SL-6275LN;CABEZAL ESTABILIZADOR TRASERO IZQ. CR-V 02-06 52321-S9A-003/SL6275LN NEXG.;82.00;55.00
SL-6275RN;CABEZAL ESTABILIZADOR TRASERO DER. CR-V 02-06 52320-S9A-003/SL-6275R NEXG.;89.00;55.00
SL-7875;CABEZAL MIT LANCER TRAS R/L 02-07;2.00;89.00
SL-H025LN;CABEZAL ESTABILIZADOR TRASERO IZQ. CR-V 07-16 52321-SWA-A01/SL-H025L NEXG.;64.00;65.00
SL-H025RN;CABEZAL ESTABILIZADOR TRASERO DER. CR-V 07-16 52320-SWA-A01/SLH025R NEXG.;64.00;65.00
SOK-158H;SOCKET PARA BOMBILLA 158 PESCADITO;166.00;2.50
SOK-158HN;SOCKET PARA BOMBILLA 158 PESCADITO;1847.00;2.50
SOK-3156;SOCKET BOMBILLA 3156;8.00;18.00
SOK-3157;SOCKET BOMBILLA 3157;1.00;19.00
SOK-5C;SOCKET PARA RELAY 5 ESPIGAS UNIVERSAL CERAMICA;1771.00;5.50
SOK-9004C;SOKET DE BOMBILLA 9004 CERAMICO;6.00;7.00
SOK-9005C;SOKET PARA BOMBILLA 9005 CERAMICO;10.00;6.00
SOK-ALOVLN;SOKET PARA ALTERNADOR 27060-35160 OVALADO;1375.00;14.00
SOK-ALRED;SOKET PARA ALTERNADOR 27060-35060 REDONDO;2.00;14.00
SOK-ALREDN;SOKET PARA ALTERNADOR 27060-35060 REDONDO;737.00;14.00
SOK-H11;SOCKET PARA LA BOMBILLA DE LA H11;4.00;10.00
SOK-H4SC;SOCKET PARA SILVIN Y BOMBILLA H4 CERAMICA;1090.00;4.50
SOK-H7C;SOCKET PARA BOMBILLA H7 CERAMICA;6.00;4.00
SOK-HYM;CONECTOR 6 PINES HEMBRA/MACHO;36.00;12.00
SOK-M1;SOCKET 1 CONTACTO DE METAL;87.00;2.00
SOK-M2;SOCKET 2 CONTACTOS DE METAL;42.00;2.00
SOK-P2;SOCKET PLASTICO 2 CONTACTOS PARA LAMPARA;25.00;3.00
SOK-T20-1;SOCKET BOMBILLA T20 1 CONTACTO;16.00;10.00
SOK-T20-2;SOCKET BOMBILLA T20 2 CONTACTOS;16.00;10.00
SR-1650N;PUNTA DE CREMALLERA MAZDA 3 03-13,MAZDA 5 06-15 R/L SR-1650/BP4L-32-240;80.00;70.00
SR-2800N;PUNTA DE CREMALLERA COROLLA 89-91 SR-2800 /45503-19125;84.00;65.00
SR-3560N;PUNTA DE CREMALLERA TACOMA 4WD, RUNNER,HILUX 96- R/L SR-3560/45503-39075;42.00;85.00
SR-3610N;PUNTA DE CREMALLERA TACOMA 2WD 95-04 R/L SR-3610/45503-39066;77.00;70.00
SR-3680N;PUNTA DE CREMALLERA TOY HIACE 5L 95-04  R/L SR-3680/45503-29665;85.00;68.00
SR-3840N;PUNTA DE CREMALLERA 4 RUNNER 02- R/L SR-3840/45503-39265;72.00;70.00
SR-3920N;PUNTA DE CREMALLERA TOYOTA RAV4 00-05 R/L SR-3920/45503-49055;90.00;68.00
SR-3970N;PUNTA DE CREMALLERA  TOY HIACE 2KD 05-20 R/L SR-3970/45503-29836;83.00;65.00
SR-6220N;PUNTA DE CREMALLERA CR-V 95-01 SR-6220/53010-S10-000;76.00;58.00
SR-T330N;PUNTA DE CREMALLERA TACOMA 4WD 05-08 R/L  SR-T330 / 45503-09490/09480;72.00;70.00
SR-T370N;PUNTA DE CREMALLERA TOYOTA COROLLA 08- TRAS. R/L SR-T370/45503-02150;29.00;74.00
SW-2TOR;SWICH 1 TIMPO PALANCA METAL 2 TORNILLOS;59.00;10.00
SW-3TOR;SWICHT PALANQUITA DE METAL 3 TORNILLOS;69.00;10.00
SW-ALAR;"SWITCH PARA ALARMA 28""";11.00;9.00
SW-C/LUZ-Z;SWITCH REDONDO CON LUZ AZUL;1.00;6.00
SW-INT6T;SWITCH UNIVERSAL DE LUCES INTERMITENTES 6 TERMINALES;13.00;29.00
SW-PIE;SWICHT DE PIE;18.00;25.00
SW-VENT;SWICHT DE VENTANA;13.00;16.00
TA-5;TERMINAL ELECTRICA ARGOLLA 3/16 AMARILLA;3194.00;0.60
TA-6;TERMINAL ELECTRICA ARGOLLA 1/4 AMARILLA;1100.00;0.65
TAL-212-1914L;TALCO TRASERA 22R IZQUIERDA 84-89;21.00;27.00
TAL-212-1914LN;TALCO TRASERA 22R IZQUIERDA 84-89 NEXG.;232.00;25.00
TAL-212-1914RN;TALCO TRASERA 22R DERECHA 84-89 NEXG.;218.00;25.00
TAL-212-1945L;TALCO TRASERA 22R IZQUIERDA  89-95;4.00;29.00
TAL-212-1945LN;TALCO TRASERA 22R IZQUIERDA  89-95 NEXG.;40.00;26.00
TAL-212-1945RN;TALCO TRASERA 22R DERECHA  89-95;42.00;26.00
TAP-R/S;TAPON PARA GAS ROSCADO S/LLAVE;23.00;21.00
TAP-RG-13LBS;TAPON PARA RADIADOR GRANDE 13LBS;20.00;26.00
TAP-RG-9LBS;TAPON PARA RADIADOR GRANDE 9LBS;20.00;25.00
TAP-RP-13LBS;TAPON PARA RADIADOR PEQUEÑO 13LBS;11.00;25.00
TAP-RP-13LBS/V-Z;TAPON PARA RADIADOR PEQUEÑO 13LBS CON VALVULA AZUL;11.00;25.00
TAP-RP-16LBS/V 1.1-Z;TAPON PARA RADIADOR PEQUEÑO 16LBS CON VALVULA 1.1 AZUL;18.00;25.00
TAP-RP-9LBS;TAPON PARA RADIADOR PEQUEÑO 9LBS;29.00;25.00
TER-PLO;TERMINAL DE PLOMO PARA SERVICIO LIVIANO;570.00;7.80
TER-PLOMA;TERMINAL DE PLOMO PARA SERVICIO PESADO DE MARIPOSA;33.00;13.50
TEST-D;TESTER TIPO DESARMADOR;13.00;18.00
TOR-8;TORNILLO ESTABILIZADOR DE 8;2.00;31.00
TOR-SIL-UNI;TORNILLO DE SILVIN UNIVERSAL;67.00;5.00
TS-1/2;TERMINAL STARTER DE 1/2 COBRE;106.00;7.00
TS-3/4;TERMINAL STARTER DE 3/4 COBRE;132.00;12.00
TS-3/8;TERMINAL STARTER DE 3/8 COBRE;114.00;5.00
TS-5/16;TERMINAL STARTER 5/16 COBRE;130.00;4.00
TS-5/8;TERMINAL STARTER DE 5/8 COBRE;146.00;9.00
TUB-F30;TUBO DE FRENO MILIMETRICO 30;23.00;24.00
TUER1.50-BLOXN;TUERCA DE 1.50 BLOX COLOR NEGRAS CAJA DE 20UNID.;1.00;200.00
TUER1.50-BLOXR;TUERCA DE 1.50 BLOX CAJA DE 20UNID.;1.00;200.00
TUER-10-1.25;TUERCA CROMADA CONVENCIONAL  1.25;443.00;4.70
TUER-10-1.50;TUERCA CROMADA CONVENCIONAL  1.50;195.00;4.70
TUER-13-1.50;TUERCA CROMADA MAGNESIO CORTA 1.50;16.00;8.00
TUER-14-1.50;TUERCA CROMADA MAGNESIO LARGA 1.50;85.00;9.50
TUER-19MM1.25;TUERCA CROMADA 19mm 1.25;164.00;5.00
TUER-19MM1.50;TUERCA CROMADO 19mm1.50;75.00;5.00
TUER-9-1.25;TUERCA CROMADA CORTA 1.25;55.00;4.60
TUER-9-1.50;TUERCA CROMADA CORTA 1.50;100.00;5.00
TUER-C1.50;TUERCA CORRIENTE 1.50;335.00;2.70
TUER-C1.50JAP;TUERCA CORRIENTE 1.50 JAPON;31.00;3.70
TUER-SEG 1.25;TUERCA CROMADO DE SEGURIDAD 1.25;45.00;4.50
TUER-SEG 1.50;TUERCA CROMADO DE SEGURIDAD 1.50;3.00;4.50
TUER-SEG1.25;TUERCA CROMADO DE SEGURIDAD 1.25;177.00;4.50
UB39-43-800N;"BOSTER MAZDA B2200 85-89 DE 8 1/2"" NEXG.";13.00;335.00
UR79-43-400N;BOMBA CENTRAL FRENO 1 MAZDA BT-50 pro 06-10;23.00;270.00
ZM01-13-220;MANGUERA DE PASO DE AIRE MAZDA PROTEGE;1.00;90.00
